Sale_Price,Area of the House from Basement (in Sqft),Years Since Renovation,Years_Since_Renovation_Bin,Age of House (in Years),House_Age_Group,No of Bathrooms,No of Bedrooms,No of Floors,Ever_Renovated_Yes,Renovation_Status
625000.0,2570.0,0,0,18,11-20 yrs,2.5,4,2.0,0,Not Renovated
775000.0,2600.0,0,0,34,31-50 yrs,2.25,4,1.0,0,Not Renovated
861990.0,3595.0,0,0,4,0-10 yrs,2.75,5,2.0,0,Not Renovated
685000.0,1570.0,0,0,96,50+ yrs,1.0,3,2.0,0,Not Renovated
309000.0,920.0,0,0,59,50+ yrs,1.0,3,1.0,0,Not Renovated
488000.0,3160.0,0,0,15,11-20 yrs,2.5,3,2.0,0,Not Renovated
210490.0,990.0,0,0,52,50+ yrs,1.0,3,1.0,0,Not Renovated
785000.0,2290.0,0,0,37,31-50 yrs,2.5,4,2.0,0,Not Renovated
450000.0,1250.0,0,0,65,50+ yrs,1.75,3,1.0,0,Not Renovated
1129575.0,2165.0,0,0,65,50+ yrs,2.5,3,1.0,0,Not Renovated
228000.0,1190.0,0,0,63,50+ yrs,1.0,3,1.0,0,Not Renovated
345000.0,1640.0,0,0,52,50+ yrs,2.5,5,1.0,0,Not Renovated
600000.0,1000.0,0,0,68,50+ yrs,1.75,3,1.0,0,Not Renovated
585000.0,990.0,0,0,37,31-50 yrs,1.75,2,1.0,0,Not Renovated
920000.0,2130.0,0,0,91,50+ yrs,2.25,5,1.5,0,Not Renovated
885000.0,2830.0,0,0,23,21-30 yrs,2.5,4,2.0,0,Not Renovated
292500.0,2250.0,0,0,10,0-10 yrs,2.5,4,2.0,0,Not Renovated
301000.0,2420.0,0,0,15,11-20 yrs,2.5,3,2.0,0,Not Renovated
951000.0,3250.0,0,0,50,31-50 yrs,3.25,5,2.0,0,Not Renovated
430000.0,1850.0,0,0,27,21-30 yrs,3.0,4,2.0,0,Not Renovated
650000.0,1590.0,0,0,59,50+ yrs,2.25,3,1.0,0,Not Renovated
289000.0,1260.0,0,0,64,50+ yrs,1.75,3,1.0,0,Not Renovated
505000.0,2519.0,0,0,45,31-50 yrs,1.75,3,2.0,0,Not Renovated
549000.0,1540.0,0,0,4,0-10 yrs,1.75,3,3.0,0,Not Renovated
425000.0,1110.0,0,0,39,31-50 yrs,2.25,3,1.0,0,Not Renovated
317625.0,1770.0,0,0,93,50+ yrs,2.75,3,1.5,0,Not Renovated
975000.0,2720.0,0,0,29,21-30 yrs,2.5,4,2.0,0,Not Renovated
287000.0,2240.0,0,0,13,11-20 yrs,2.5,4,2.0,0,Not Renovated
204000.0,1000.0,0,0,50,31-50 yrs,1.0,3,1.0,0,Not Renovated
1129575.0,1600.0,0,0,53,50+ yrs,2.25,5,1.0,0,Not Renovated
1040000.0,3070.0,0,0,45,31-50 yrs,3.25,5,1.0,0,Not Renovated
325000.0,1260.0,0,0,46,31-50 yrs,2.0,3,1.0,0,Not Renovated
571000.0,2250.0,0,0,102,,2.0,4,1.5,0,Not Renovated
360000.0,2380.0,0,0,13,11-20 yrs,2.5,4,2.0,0,Not Renovated
349000.0,1090.0,0,0,53,50+ yrs,1.75,3,1.0,0,Not Renovated
832500.0,2390.0,0,0,32,31-50 yrs,4.0,4,2.0,0,Not Renovated
380000.0,880.0,0,0,62,50+ yrs,1.75,4,1.0,0,Not Renovated
480000.0,1040.0,0,0,77,50+ yrs,1.0,3,1.0,0,Not Renovated
410000.0,910.0,0,0,62,50+ yrs,1.0,3,1.0,0,Not Renovated
720000.0,3450.0,0,0,16,11-20 yrs,2.5,4,2.0,0,Not Renovated
390000.0,2350.0,0,0,15,11-20 yrs,2.5,3,2.0,0,Not Renovated
360000.0,1900.0,0,0,26,21-30 yrs,2.5,4,2.0,0,Not Renovated
355000.0,1010.0,0,0,70,50+ yrs,1.0,2,1.0,0,Not Renovated
356000.0,1680.0,0,0,54,50+ yrs,1.5,3,1.0,0,Not Renovated
315000.0,960.0,0,0,66,50+ yrs,1.0,3,1.0,0,Not Renovated
940000.0,1900.0,0,0,93,50+ yrs,1.5,3,2.0,0,Not Renovated
305000.0,2660.0,0,0,57,50+ yrs,2.25,5,1.5,0,Not Renovated
461000.0,1980.0,0,0,12,11-20 yrs,3.25,3,2.0,0,Not Renovated
215000.0,1610.0,0,0,39,31-50 yrs,2.25,2,2.0,0,Not Renovated
335000.0,765.0,0,0,12,11-20 yrs,1.75,2,2.0,0,Not Renovated
1100000.0,3520.0,0,0,17,11-20 yrs,2.75,5,2.0,0,Not Renovated
153000.0,1200.0,0,0,56,50+ yrs,1.0,3,1.0,0,Not Renovated
430000.0,1290.0,0,0,79,50+ yrs,1.5,3,1.0,0,Not Renovated
700000.0,1290.0,0,0,79,50+ yrs,1.5,3,1.0,0,Not Renovated
905000.0,2390.0,26,21-50,72,50+ yrs,2.5,4,1.0,1,Renovated
247500.0,1960.0,0,0,51,50+ yrs,1.75,3,1.0,0,Not Renovated
199000.0,1160.0,0,0,43,31-50 yrs,1.5,4,1.0,0,Not Renovated
314000.0,1210.0,0,0,38,31-50 yrs,1.75,3,1.0,0,Not Renovated
437500.0,2320.0,0,0,26,21-30 yrs,2.5,3,2.0,0,Not Renovated
850830.0,1270.0,0,0,108,,2.5,3,1.5,0,Not Renovated
555000.0,1440.0,0,0,89,50+ yrs,2.0,3,1.5,0,Not Renovated
699950.0,2190.0,0,0,35,31-50 yrs,2.25,3,2.0,0,Not Renovated
1090000.0,2920.0,7,6-10,68,50+ yrs,2.5,3,2.0,1,Renovated
290000.0,1210.0,0,0,64,50+ yrs,1.0,3,1.0,0,Not Renovated
375000.0,1460.0,0,0,40,31-50 yrs,2.5,3,1.0,0,Not Renovated
460000.0,1170.0,0,0,79,50+ yrs,1.0,3,1.5,0,Not Renovated
188500.0,1240.0,0,0,33,31-50 yrs,1.75,2,1.0,0,Not Renovated
680000.0,3140.0,0,0,27,21-30 yrs,2.5,4,2.0,0,Not Renovated
470000.0,2030.0,0,0,76,50+ yrs,1.75,5,2.0,0,Not Renovated
597750.0,2310.0,0,0,34,31-50 yrs,2.5,4,2.0,0,Not Renovated
570000.0,700.0,0,0,113,,1.75,3,1.0,0,Not Renovated
272500.0,1160.0,0,0,38,31-50 yrs,1.75,3,1.0,0,Not Renovated
329950.0,1080.0,0,0,47,31-50 yrs,1.75,3,1.0,0,Not Renovated
480000.0,2520.0,0,0,17,11-20 yrs,2.5,4,2.0,0,Not Renovated
740500.0,2780.0,18,11-20,118,,3.5,3,2.0,1,Renovated
518500.0,1590.0,0,0,8,0-10 yrs,3.5,3,3.0,0,Not Renovated
205425.0,880.0,0,0,73,50+ yrs,1.0,2,1.0,0,Not Renovated
171800.0,1570.0,0,0,68,50+ yrs,2.0,4,1.0,0,Not Renovated
535000.0,1610.0,0,0,93,50+ yrs,1.0,4,1.5,0,Not Renovated
660000.0,1560.0,0,0,54,50+ yrs,2.5,3,1.0,0,Not Renovated
391500.0,1450.0,0,0,31,31-50 yrs,2.0,3,1.0,0,Not Renovated
395000.0,770.0,0,0,65,50+ yrs,1.0,2,1.0,0,Not Renovated
445000.0,1720.0,0,0,94,50+ yrs,1.75,4,1.5,0,Not Renovated
770000.0,2910.0,0,0,28,21-30 yrs,2.25,3,2.0,0,Not Renovated
1129575.0,1980.0,24,21-50,104,,2.75,4,1.5,1,Renovated
445000.0,1620.0,0,0,51,50+ yrs,2.25,3,1.0,0,Not Renovated
260000.0,1360.0,0,0,40,31-50 yrs,2.25,4,1.0,0,Not Renovated
822500.0,1720.0,0,0,92,50+ yrs,3.5,5,2.0,0,Not Renovated
430000.0,2070.0,0,0,14,11-20 yrs,2.5,4,2.0,0,Not Renovated
212000.0,1060.0,0,0,32,31-50 yrs,1.75,3,1.0,0,Not Renovated
660500.0,1440.0,0,0,32,31-50 yrs,2.25,4,1.0,0,Not Renovated
784000.0,2460.0,0,0,29,21-30 yrs,3.5,3,1.5,0,Not Renovated
453246.0,1390.0,0,0,4,0-10 yrs,2.5,3,2.0,0,Not Renovated
675000.0,2140.0,0,0,13,11-20 yrs,3.5,4,3.0,0,Not Renovated
199000.0,1320.0,0,0,62,50+ yrs,1.75,3,1.0,0,Not Renovated
220000.0,1010.0,0,0,50,31-50 yrs,1.75,4,1.0,0,Not Renovated
452000.0,1340.0,0,0,50,31-50 yrs,2.25,4,1.0,0,Not Renovated
382500.0,1190.0,0,0,37,31-50 yrs,1.0,2,1.0,0,Not Renovated
519950.0,1170.0,0,0,4,0-10 yrs,2.25,3,3.0,0,Not Renovated
665000.0,1110.0,0,0,93,50+ yrs,1.0,2,1.0,0,Not Renovated
527700.0,1550.0,0,0,50,31-50 yrs,2.5,5,1.0,0,Not Renovated
205000.0,1010.0,0,0,56,50+ yrs,1.0,3,1.0,0,Not Renovated
420000.0,940.0,0,0,95,50+ yrs,1.0,3,1.0,0,Not Renovated
500000.0,1380.0,0,0,57,50+ yrs,2.25,4,1.0,0,Not Renovated
921500.0,3670.0,0,0,24,21-30 yrs,2.5,4,2.0,0,Not Renovated
890000.0,2370.0,0,0,113,,1.0,4,2.0,0,Not Renovated
430000.0,2420.0,0,0,11,11-20 yrs,2.5,2,2.0,0,Not Renovated
258000.0,1130.0,0,0,58,50+ yrs,2.0,5,1.0,0,Not Renovated
511000.0,980.0,0,0,71,50+ yrs,1.0,3,1.0,0,Not Renovated
532170.0,1360.0,0,0,28,21-30 yrs,2.0,3,2.0,0,Not Renovated
560000.0,1110.0,0,0,71,50+ yrs,1.0,3,1.5,0,Not Renovated
282950.0,1250.0,0,0,64,50+ yrs,1.0,3,1.0,0,Not Renovated
1129575.0,3540.0,0,0,12,11-20 yrs,3.25,4,2.0,0,Not Renovated
350000.0,700.0,0,0,76,50+ yrs,1.0,1,1.0,0,Not Renovated
215000.0,1180.0,0,0,51,50+ yrs,1.0,3,1.0,0,Not Renovated
650000.0,2500.0,0,0,22,21-30 yrs,3.5,5,2.0,0,Not Renovated
320000.0,1620.0,0,0,51,50+ yrs,2.75,4,1.0,0,Not Renovated
247000.0,1270.0,4,1-5,102,,2.0,3,1.5,1,Renovated
320000.0,1760.0,0,0,50,31-50 yrs,1.75,4,1.0,0,Not Renovated
255000.0,1030.0,0,0,56,50+ yrs,2.25,5,1.0,0,Not Renovated
438000.0,1780.0,0,0,56,50+ yrs,1.75,3,1.0,0,Not Renovated
900000.0,3400.0,0,0,18,11-20 yrs,2.5,3,2.0,0,Not Renovated
441000.0,1160.0,0,0,39,31-50 yrs,2.75,3,1.0,0,Not Renovated
420000.0,1010.0,0,0,43,31-50 yrs,2.0,3,1.0,0,Not Renovated
370000.0,1180.0,0,0,42,31-50 yrs,1.75,3,1.0,0,Not Renovated
269950.0,700.0,0,0,69,50+ yrs,1.75,2,1.0,0,Not Renovated
807100.0,2680.0,0,0,19,11-20 yrs,2.5,4,2.0,0,Not Renovated
371500.0,1370.0,0,0,54,50+ yrs,2.0,3,1.0,0,Not Renovated
284000.0,1560.0,0,0,64,50+ yrs,1.75,3,1.0,0,Not Renovated
272000.0,1670.0,0,0,40,31-50 yrs,1.75,3,1.0,0,Not Renovated
313000.0,1340.0,0,0,63,50+ yrs,1.5,3,1.5,0,Not Renovated
917500.0,2570.0,0,0,34,31-50 yrs,2.5,4,2.0,0,Not Renovated
673000.0,2590.0,0,0,38,31-50 yrs,2.25,4,2.0,0,Not Renovated
425000.0,820.0,0,0,10,0-10 yrs,2.5,3,2.0,0,Not Renovated
399950.0,1320.0,0,0,32,31-50 yrs,2.75,5,1.0,0,Not Renovated
385000.0,1220.0,0,0,117,,1.0,3,1.0,0,Not Renovated
269950.0,1320.0,0,0,43,31-50 yrs,1.5,3,1.0,0,Not Renovated
330000.0,1060.0,0,0,69,50+ yrs,1.0,2,1.0,0,Not Renovated
260000.0,1670.0,0,0,30,21-30 yrs,2.5,3,2.0,0,Not Renovated
470000.0,1680.0,0,0,93,50+ yrs,3.0,4,1.5,0,Not Renovated
589000.0,2440.0,0,0,57,50+ yrs,3.0,4,2.0,0,Not Renovated
163500.0,1050.0,0,0,22,21-30 yrs,1.5,2,2.0,0,Not Renovated
835000.0,2140.0,0,0,25,21-30 yrs,2.75,4,2.0,0,Not Renovated
1100000.0,2090.0,0,0,32,31-50 yrs,3.0,5,1.0,0,Not Renovated
269000.0,1100.0,0,0,49,31-50 yrs,1.75,4,1.0,0,Not Renovated
560000.0,1900.0,0,0,31,31-50 yrs,2.5,3,2.0,0,Not Renovated
615000.0,1330.0,0,0,117,,1.0,4,1.5,0,Not Renovated
585188.0,1430.0,0,0,43,31-50 yrs,2.25,3,1.0,0,Not Renovated
305000.0,1220.0,0,0,41,31-50 yrs,1.75,3,1.0,0,Not Renovated
166950.0,1190.0,0,0,59,50+ yrs,1.0,3,1.0,0,Not Renovated
799000.0,2140.0,0,0,59,50+ yrs,2.5,3,1.0,0,Not Renovated
400000.0,1420.0,0,0,56,50+ yrs,2.5,3,1.0,0,Not Renovated
230000.0,1060.0,0,0,70,50+ yrs,1.0,3,1.0,0,Not Renovated
256883.0,1690.0,0,0,15,11-20 yrs,2.5,3,2.0,0,Not Renovated
423000.0,1130.0,0,0,98,50+ yrs,2.0,4,1.5,0,Not Renovated
465000.0,2150.0,0,0,11,11-20 yrs,2.5,3,2.0,0,Not Renovated
440000.0,1910.0,0,0,21,21-30 yrs,2.5,3,2.0,0,Not Renovated
385000.0,1350.0,0,0,49,31-50 yrs,1.75,3,1.0,0,Not Renovated
210000.0,860.0,0,0,75,50+ yrs,1.0,3,1.0,0,Not Renovated
297000.0,1940.0,0,0,24,21-30 yrs,2.5,3,2.0,0,Not Renovated
470000.0,1010.0,0,0,66,50+ yrs,1.0,3,1.0,0,Not Renovated
226500.0,900.0,0,0,42,31-50 yrs,1.5,3,1.0,0,Not Renovated
274250.0,910.0,0,0,56,50+ yrs,1.0,3,1.0,0,Not Renovated
840000.0,1630.0,0,0,52,50+ yrs,1.75,4,1.0,0,Not Renovated
677900.0,2440.0,0,0,8,0-10 yrs,2.5,3,2.0,0,Not Renovated
425000.0,1010.0,0,0,103,,1.0,3,1.0,0,Not Renovated
180250.0,900.0,0,0,77,50+ yrs,0.75,2,1.0,0,Not Renovated
464000.0,1600.0,23,21-50,98,50+ yrs,3.0,6,2.0,1,Renovated
320000.0,1550.0,0,0,25,21-30 yrs,2.25,4,2.0,0,Not Renovated
625504.0,1060.0,0,0,4,0-10 yrs,2.25,3,2.0,0,Not Renovated
592500.0,2240.0,0,0,35,31-50 yrs,2.5,4,1.0,0,Not Renovated
465000.0,2714.0,0,0,13,11-20 yrs,2.5,3,2.0,0,Not Renovated
477000.0,1720.0,0,0,40,31-50 yrs,2.75,4,2.0,0,Not Renovated
280000.0,850.0,0,0,95,50+ yrs,1.0,2,1.0,0,Not Renovated
1129575.0,1870.0,25,21-50,61,50+ yrs,3.0,5,1.0,1,Renovated
445838.0,2250.0,0,0,18,11-20 yrs,2.5,3,2.0,0,Not Renovated
1070000.0,1950.0,0,0,71,50+ yrs,2.25,2,1.0,0,Not Renovated
467000.0,1320.0,0,0,71,50+ yrs,1.5,2,1.0,0,Not Renovated
686000.0,2760.0,0,0,19,11-20 yrs,2.5,4,2.0,0,Not Renovated
279950.0,1350.0,0,0,57,50+ yrs,2.0,3,1.0,0,Not Renovated
527000.0,2330.0,0,0,31,31-50 yrs,2.25,4,2.0,0,Not Renovated
325000.0,1780.0,0,0,52,50+ yrs,2.25,3,1.0,0,Not Renovated
328000.0,2020.0,0,0,24,21-30 yrs,2.25,3,2.0,0,Not Renovated
390000.0,1250.0,0,0,76,50+ yrs,2.25,3,1.0,0,Not Renovated
479950.0,1510.0,0,0,13,11-20 yrs,2.0,2,1.0,0,Not Renovated
264950.0,1120.0,0,0,40,31-50 yrs,2.25,4,1.0,0,Not Renovated
235000.0,980.0,0,0,57,50+ yrs,1.0,3,1.0,0,Not Renovated
516500.0,1480.0,0,0,14,11-20 yrs,2.5,3,2.0,0,Not Renovated
655000.0,1230.0,38,21-50,103,,1.75,2,2.0,1,Renovated
500000.0,2280.0,0,0,58,50+ yrs,2.75,4,1.0,0,Not Renovated
315000.0,1780.0,0,0,40,31-50 yrs,2.75,6,1.0,0,Not Renovated
213000.0,1000.0,0,0,57,50+ yrs,1.0,2,1.0,0,Not Renovated
475000.0,1620.0,0,0,71,50+ yrs,1.5,3,1.5,0,Not Renovated
1030000.0,3760.0,0,0,35,31-50 yrs,4.0,5,2.0,0,Not Renovated
416000.0,1640.0,0,0,42,31-50 yrs,2.0,3,1.0,0,Not Renovated
410000.0,1670.0,11,11-20,114,,1.0,4,1.5,1,Renovated
800000.0,3530.0,0,0,25,21-30 yrs,3.5,3,2.0,0,Not Renovated
472000.0,2350.0,0,0,53,50+ yrs,2.5,6,1.0,0,Not Renovated
225000.0,1430.0,0,0,50,31-50 yrs,1.75,3,1.0,0,Not Renovated
210000.0,830.0,0,0,78,50+ yrs,1.0,2,1.0,0,Not Renovated
455000.0,1430.0,0,0,93,50+ yrs,1.0,2,1.5,0,Not Renovated
225000.0,1300.0,0,0,64,50+ yrs,1.0,3,1.0,0,Not Renovated
480000.0,790.0,0,0,100,50+ yrs,1.0,2,1.0,0,Not Renovated
363000.0,2740.0,0,0,28,21-30 yrs,2.5,3,2.0,0,Not Renovated
1129575.0,1830.0,0,0,18,11-20 yrs,2.5,4,1.0,0,Not Renovated
181000.0,720.0,0,0,64,50+ yrs,1.5,2,1.0,0,Not Renovated
250000.0,2010.0,0,0,42,31-50 yrs,2.0,4,1.0,0,Not Renovated
481000.0,770.0,0,0,100,50+ yrs,1.75,3,1.0,0,Not Renovated
260000.0,1240.0,0,0,40,31-50 yrs,2.0,3,1.0,0,Not Renovated
455000.0,3360.0,0,0,17,11-20 yrs,2.5,4,2.0,0,Not Renovated
415000.0,1510.0,0,0,27,21-30 yrs,2.25,3,2.0,0,Not Renovated
349500.0,800.0,0,0,65,50+ yrs,1.0,3,1.0,0,Not Renovated
245000.0,1730.0,0,0,31,31-50 yrs,2.5,3,2.0,0,Not Renovated
592500.0,1420.0,0,0,90,50+ yrs,2.0,2,1.5,0,Not Renovated
385000.0,1180.0,0,0,63,50+ yrs,1.75,4,1.0,0,Not Renovated
315000.0,1200.0,0,0,44,31-50 yrs,1.75,3,1.0,0,Not Renovated
255000.0,1230.0,0,0,39,31-50 yrs,1.0,3,1.0,0,Not Renovated
693000.0,2460.0,0,0,12,11-20 yrs,2.5,4,2.0,0,Not Renovated
780000.0,1460.0,0,0,107,,1.0,3,1.5,0,Not Renovated
237000.0,1270.0,0,0,58,50+ yrs,1.75,3,1.0,0,Not Renovated
525000.0,1320.0,0,0,39,31-50 yrs,2.25,3,2.0,0,Not Renovated
425000.0,770.0,0,0,88,50+ yrs,1.0,2,1.0,0,Not Renovated
369900.0,760.0,0,0,82,50+ yrs,0.75,1,1.0,0,Not Renovated
290000.0,1700.0,0,0,30,21-30 yrs,2.5,4,2.0,0,Not Renovated
285000.0,1120.0,0,0,64,50+ yrs,1.0,3,1.0,0,Not Renovated
415000.0,1070.0,0,0,81,50+ yrs,1.0,2,1.0,0,Not Renovated
272500.0,1420.0,0,0,39,31-50 yrs,2.5,3,1.0,0,Not Renovated
1129575.0,4750.0,8,6-10,36,31-50 yrs,3.25,4,1.5,1,Renovated
1129575.0,5310.0,0,0,29,21-30 yrs,4.75,4,2.0,0,Not Renovated
436000.0,1040.0,0,0,79,50+ yrs,1.0,2,1.0,0,Not Renovated
210000.0,1700.0,0,0,51,50+ yrs,1.0,3,1.0,0,Not Renovated
236000.0,1300.0,0,0,57,50+ yrs,1.0,3,1.0,0,Not Renovated
331000.0,580.0,14,11-20,64,50+ yrs,1.75,3,1.0,1,Renovated
365000.0,2653.0,0,0,12,11-20 yrs,2.5,3,2.0,0,Not Renovated
450000.0,2290.0,0,0,58,50+ yrs,2.0,3,1.0,0,Not Renovated
770000.0,2850.0,0,0,4,0-10 yrs,2.75,4,2.0,0,Not Renovated
455000.0,2210.0,0,0,21,21-30 yrs,2.5,4,1.0,0,Not Renovated
405000.0,1240.0,0,0,110,,1.75,3,1.0,0,Not Renovated
304900.0,1610.0,0,0,49,31-50 yrs,1.75,4,1.0,0,Not Renovated
170000.0,860.0,0,0,87,50+ yrs,1.0,2,1.0,0,Not Renovated
1129575.0,2630.0,22,21-50,113,,3.0,5,2.0,1,Renovated
780000.0,3500.0,0,0,13,11-20 yrs,2.5,4,2.0,0,Not Renovated
330000.0,1740.0,0,0,30,21-30 yrs,3.0,3,1.0,0,Not Renovated
370000.0,2720.0,0,0,26,21-30 yrs,2.5,4,2.0,0,Not Renovated
467000.0,1850.0,0,0,39,31-50 yrs,2.25,5,1.0,0,Not Renovated
405000.0,1140.0,0,0,38,31-50 yrs,1.75,3,1.0,0,Not Renovated
675000.0,1450.0,0,0,33,31-50 yrs,2.25,5,1.0,0,Not Renovated
500000.0,1140.0,0,0,64,50+ yrs,1.0,2,1.0,0,Not Renovated
389999.0,1890.0,0,0,50,31-50 yrs,2.5,4,2.0,0,Not Renovated
630000.0,1780.0,0,0,43,31-50 yrs,1.75,4,1.0,0,Not Renovated
360000.0,2160.0,0,0,26,21-30 yrs,2.5,4,2.0,0,Not Renovated
580000.0,2270.0,0,0,32,31-50 yrs,3.0,4,2.0,0,Not Renovated
550000.0,1270.0,0,0,89,50+ yrs,2.0,3,2.0,0,Not Renovated
879000.0,3360.0,0,0,24,21-30 yrs,2.5,4,2.0,0,Not Renovated
265000.0,1320.0,0,0,25,21-30 yrs,2.0,3,1.0,0,Not Renovated
446500.0,2650.0,0,0,28,21-30 yrs,2.5,3,2.0,0,Not Renovated
404000.0,1330.0,0,0,55,50+ yrs,1.5,3,1.0,0,Not Renovated
267500.0,1090.0,0,0,61,50+ yrs,1.75,3,1.0,0,Not Renovated
1129575.0,2600.0,0,0,16,11-20 yrs,5.0,4,1.0,0,Not Renovated
335000.0,2440.0,0,0,20,11-20 yrs,2.5,3,2.0,0,Not Renovated
576000.0,970.0,0,0,70,50+ yrs,2.5,3,1.0,0,Not Renovated
208633.0,2040.0,0,0,12,11-20 yrs,2.5,3,2.0,0,Not Renovated
315000.0,1120.0,0,0,54,50+ yrs,2.25,3,1.0,0,Not Renovated
725000.0,960.0,0,0,105,,1.75,3,1.0,0,Not Renovated
550000.0,1400.0,0,0,53,50+ yrs,2.75,4,1.0,0,Not Renovated
610750.0,2180.0,0,0,34,31-50 yrs,2.25,4,2.0,0,Not Renovated
550700.0,1010.0,0,0,110,,1.0,2,1.5,0,Not Renovated
665000.0,2220.0,0,0,58,50+ yrs,2.75,4,2.0,0,Not Renovated
834000.0,1980.0,0,0,90,50+ yrs,2.5,4,1.5,0,Not Renovated
201000.0,1660.0,0,0,103,,1.75,5,1.5,0,Not Renovated
1129575.0,3370.0,0,0,97,50+ yrs,2.5,5,2.0,0,Not Renovated
1129575.0,2690.0,0,0,21,21-30 yrs,3.25,4,1.0,0,Not Renovated
1129575.0,2690.0,0,0,21,21-30 yrs,3.25,4,1.0,0,Not Renovated
305000.0,1350.0,0,0,39,31-50 yrs,2.25,4,1.0,0,Not Renovated
487000.0,1720.0,0,0,70,50+ yrs,2.0,3,1.0,0,Not Renovated
390000.0,1930.0,0,0,30,21-30 yrs,2.5,3,1.0,0,Not Renovated
548000.0,1170.0,0,0,102,,1.0,2,1.0,0,Not Renovated
268750.0,800.0,0,0,75,50+ yrs,1.0,4,1.0,0,Not Renovated
819900.0,3150.0,0,0,5,0-10 yrs,2.75,5,2.0,0,Not Renovated
520000.0,2030.0,0,0,34,31-50 yrs,2.25,3,2.0,0,Not Renovated
230000.0,1450.0,0,0,15,11-20 yrs,2.0,3,1.0,0,Not Renovated
240000.0,1510.0,0,0,49,31-50 yrs,1.75,3,1.0,0,Not Renovated
232000.0,960.0,33,21-50,96,50+ yrs,1.0,2,1.0,1,Renovated
240500.0,960.0,32,21-50,96,50+ yrs,1.0,2,1.0,1,Renovated
274975.0,3030.0,0,0,31,31-50 yrs,2.5,3,2.0,0,Not Renovated
740000.0,2050.0,0,0,96,50+ yrs,2.0,4,1.5,0,Not Renovated
186375.0,1000.0,0,0,66,50+ yrs,1.0,3,1.0,0,Not Renovated
790000.0,1590.0,0,0,41,31-50 yrs,2.25,3,1.0,0,Not Renovated
